Jarak(L),Total Dispersi (s),Total Daya(dBm)
185,5.005756686057125e-12,191.130
186,5.0057566860571304e-12,190.828
187,5.005756686057137e-12,190.526
188,5.005756686057143e-12,190.224
189,5.005756686057149e-12,189.922
190,5.0057566860571555e-12,189.620
191,5.005756686057161e-12,189.318
192,5.0057566860571676e-12,189.016
193,5.005756686057174e-12,188.714
194,5.0057566860571805e-12,188.412
195,5.005756686057187e-12,188.110
196,5.0057566860571934e-12,187.808
197,5.0057566860572e-12,187.506
198,5.005756686057206e-12,187.204
199,5.005756686057213e-12,186.902
200,5.005756686057219e-12,186.600
201,5.005756686057226e-12,186.298
202,5.005756686057232e-12,185.996
203,5.005756686057239e-12,185.694
204,5.005756686057245e-12,185.392
205,5.005756686057252e-12,185.090
206,5.005756686057259e-12,184.788
207,5.005756686057265e-12,184.486
208,5.0057566860572726e-12,184.184
209,5.005756686057279e-12,183.882
210,5.005756686057286e-12,183.580
211,5.005756686057293e-12,183.278
212,5.0057566860573e-12,182.976
213,5.0057566860573065e-12,182.674
214,5.005756686057314e-12,182.372
215,5.005756686057321e-12,182.070
216,5.0057566860573275e-12,181.768
217,5.005756686057335e-12,181.466
218,5.005756686057342e-12,181.164
219,5.005756686057349e-12,180.862
220,5.005756686057357e-12,180.560
221,5.005756686057364e-12,180.258
222,5.005756686057371e-12,179.956
223,5.0057566860573784e-12,179.654
224,5.005756686057386e-12,179.352
225,5.005756686057393e-12,179.050
226,5.0057566860574e-12,178.748
227,5.0057566860574075e-12,178.446
228,5.005756686057415e-12,178.144
229,5.005756686057423e-12,177.842
230,5.00575668605743e-12,177.540
231,5.005756686057437e-12,177.238
232,5.0057566860574455e-12,176.936
233,5.005756686057453e-12,176.634
234,5.005756686057461e-12,176.332
235,5.005756686057468e-12,176.030
236,5.005756686057476e-12,175.728
237,5.0057566860574834e-12,175.426
238,5.0057566860574915e-12,175.124
239,5.0057566860574996e-12,174.822
240,5.005756686057507e-12,174.520
241,5.005756686057515e-12,174.218
242,5.005756686057523e-12,173.916
243,5.005756686057531e-12,173.614
244,5.005756686057538e-12,173.312
245,5.005756686057547e-12,173.010
246,5.0057566860575545e-12,172.708
247,5.0057566860575626e-12,172.406
248,5.005756686057571e-12,172.104
249,5.0057566860575795e-12,171.802
250,5.005756686057588e-12,171.500
251,5.005756686057596e-12,171.198
252,5.005756686057604e-12,170.896
253,5.005756686057612e-12,170.594
254,5.00575668605762e-12,170.292
255,5.005756686057629e-12,169.990
256,5.005756686057637e-12,169.688
257,5.005756686057645e-12,169.386
258,5.005756686057654e-12,169.084
259,5.005756686057662e-12,168.782
260,5.005756686057671e-12,168.480
261,5.005756686057679e-12,168.178
262,5.005756686057688e-12,167.876
263,5.005756686057697e-12,167.574
264,5.005756686057705e-12,167.272
265,5.005756686057714e-12,166.970
266,5.0057566860577225e-12,166.668
267,5.0057566860577314e-12,166.366
268,5.0057566860577395e-12,166.064
269,5.005756686057748e-12,165.762
270,5.005756686057757e-12,165.460
271,5.005756686057766e-12,165.158
272,5.005756686057775e-12,164.856
273,5.005756686057784e-12,164.554
274,5.005756686057793e-12,164.252
275,5.005756686057802e-12,163.950
276,5.005756686057811e-12,163.648
277,5.00575668605782e-12,163.346
278,5.005756686057829e-12,163.044
279,5.005756686057838e-12,162.742
280,5.005756686057848e-12,162.440
281,5.005756686057857e-12,162.138
282,5.005756686057866e-12,161.836
283,5.005756686057875e-12,161.534
284,5.005756686057884e-12,161.232
285,5.005756686057894e-12,160.930
286,5.005756686057903e-12,160.628
287,5.005756686057912e-12,160.326
288,5.005756686057922e-12,160.024
289,5.005756686057932e-12,159.722
290,5.005756686057941e-12,159.420
291,5.00575668605795e-12,159.118
292,5.00575668605796e-12,158.816
293,5.005756686057969e-12,158.514
294,5.005756686057979e-12,158.212
295,5.005756686057988e-12,157.910
296,5.005756686057998e-12,157.608
297,5.005756686058008e-12,157.306
298,5.005756686058017e-12,157.004
299,5.005756686058027e-12,156.702
300,5.0057566860580376e-12,156.400
301,5.005756686058047e-12,156.098
302,5.005756686058057e-12,155.796
303,5.005756686058067e-12,155.494
304,5.005756686058076e-12,155.192
305,5.005756686058087e-12,154.890
306,5.0057566860580965e-12,154.588
307,5.005756686058107e-12,154.286
308,5.005756686058117e-12,153.984
309,5.005756686058127e-12,153.682
310,5.005756686058137e-12,153.380
311,5.0057566860581474e-12,153.078
312,5.005756686058157e-12,152.776
313,5.005756686058168e-12,152.474
314,5.005756686058178e-12,152.172
315,5.005756686058189e-12,151.870
316,5.005756686058198e-12,151.568
317,5.005756686058209e-12,151.266
318,5.005756686058219e-12,150.964
319,5.00575668605823e-12,150.662
320,5.00575668605824e-12,150.360
321,5.005756686058251e-12,150.058
322,5.005756686058261e-12,149.756
323,5.005756686058272e-12,149.454
324,5.005756686058282e-12,149.152
325,5.005756686058293e-12,148.850
326,5.005756686058303e-12,148.548
327,5.005756686058315e-12,148.246
328,5.005756686058325e-12,147.944
329,5.005756686058336e-12,147.642
330,5.005756686058346e-12,147.340
331,5.0057566860583575e-12,147.038
332,5.005756686058368e-12,146.736
333,5.005756686058379e-12,146.434
334,5.0057566860583906e-12,146.132
335,5.005756686058401e-12,145.830
336,5.0057566860584116e-12,145.528
337,5.005756686058423e-12,145.226
338,5.005756686058434e-12,144.924
