Jarak(L),Total Dispersi (s),Total Daya(dBm)
807,5.005756686067222e-12,3.286
808,5.005756686067249e-12,2.984
809,5.0057566860672755e-12,2.682
810,5.005756686067301e-12,2.380
811,5.005756686067328e-12,2.078
812,5.005756686067355e-12,1.776
813,5.005756686067381e-12,1.474
814,5.005756686067408e-12,1.172
815,5.005756686067435e-12,0.870
816,5.005756686067461e-12,0.568
817,5.005756686067488e-12,0.266
818,5.005756686067515e-12,-0.036
819,5.005756686067541e-12,-0.338
820,5.005756686067569e-12,-0.640
821,5.005756686067595e-12,-0.942
822,5.005756686067622e-12,-1.244
823,5.005756686067649e-12,-1.546
824,5.005756686067676e-12,-1.848
825,5.005756686067703e-12,-2.150
826,5.00575668606773e-12,-2.452
827,5.005756686067757e-12,-2.754
828,5.005756686067784e-12,-3.056
829,5.005756686067811e-12,-3.358
830,5.0057566860678385e-12,-3.660
831,5.005756686067865e-12,-3.962
832,5.005756686067893e-12,-4.264
833,5.00575668606792e-12,-4.566
834,5.0057566860679476e-12,-4.868
835,5.005756686067975e-12,-5.170
836,5.005756686068002e-12,-5.472
837,5.005756686068029e-12,-5.774
838,5.005756686068057e-12,-6.076
839,5.005756686068084e-12,-6.378
840,5.0057566860681116e-12,-6.680
841,5.005756686068139e-12,-6.982
842,5.0057566860681665e-12,-7.284
843,5.005756686068194e-12,-7.586
844,5.005756686068222e-12,-7.888
845,5.00575668606825e-12,-8.190
846,5.005756686068277e-12,-8.492
847,5.005756686068305e-12,-8.794
848,5.005756686068333e-12,-9.096
849,5.00575668606836e-12,-9.398
850,5.005756686068389e-12,-9.700
851,5.005756686068416e-12,-10.002
852,5.005756686068444e-12,-10.304
853,5.005756686068472e-12,-10.606
854,5.0057566860685e-12,-10.908
855,5.0057566860685276e-12,-11.210
856,5.005756686068556e-12,-11.512
857,5.005756686068584e-12,-11.814
858,5.005756686068612e-12,-12.116
859,5.00575668606864e-12,-12.418
860,5.005756686068668e-12,-12.720
861,5.005756686068696e-12,-13.022
862,5.005756686068725e-12,-13.324
863,5.005756686068753e-12,-13.626
864,5.005756686068781e-12,-13.928
865,5.0057566860688095e-12,-14.230
866,5.005756686068838e-12,-14.532
867,5.005756686068866e-12,-14.834
868,5.005756686068894e-12,-15.136
869,5.0057566860689226e-12,-15.438
870,5.005756686068952e-12,-15.740
871,5.00575668606898e-12,-16.042
872,5.005756686069008e-12,-16.344
873,5.0057566860690365e-12,-16.646
874,5.0057566860690656e-12,-16.948
875,5.005756686069094e-12,-17.250
876,5.005756686069123e-12,-17.552
877,5.005756686069151e-12,-17.854
878,5.00575668606918e-12,-18.156
879,5.0057566860692085e-12,-18.458
880,5.005756686069238e-12,-18.760
881,5.005756686069267e-12,-19.062
882,5.005756686069295e-12,-19.364
883,5.005756686069324e-12,-19.666
884,5.005756686069353e-12,-19.968
885,5.005756686069382e-12,-20.270
886,5.005756686069411e-12,-20.572
887,5.00575668606944e-12,-20.874
888,5.0057566860694695e-12,-21.176
889,5.0057566860694985e-12,-21.478
890,5.005756686069528e-12,-21.780
891,5.005756686069557e-12,-22.082
892,5.005756686069586e-12,-22.384
893,5.005756686069615e-12,-22.686
894,5.005756686069644e-12,-22.988
895,5.005756686069674e-12,-23.290
896,5.005756686069703e-12,-23.592
897,5.005756686069732e-12,-23.894
898,5.005756686069762e-12,-24.196
899,5.005756686069791e-12,-24.498
900,5.00575668606982e-12,-24.800
